Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
60N,149W,1986,-23,10,-44,-12,-1,-7,1,1,3,-12,-4,37
60N,149W,1987,58,-6,-15,-15,-3,-25,-1,-5,-2,19,21,78
60N,149W,1988,54,-17,-10,-14,-5,-8,-2,-4,-1,-26,-36,73
60N,149W,1989,31,69,-60,2,2,-5,-2,0,10,8,15,49
60N,149W,1990,89,-7,0,-2,1,-1,2,-4,10,15,-30,86
60N,149W,1991,102,22,47,-22,-2,2,-3,-6,0,9,-58,82
60N,149W,1992,46,-1,29,-32,-2,1,-2,0,-11,-3,52,90
60N,149W,1993,131,35,5,-23,-3,-1,1,4,32,18,68,58
60N,149W,1994,46,-2,17,1,-9,-3,-2,1,-5,-3,47,36
60N,149W,1995,52,29,-61,-6,-1,-6,-1,-4,-5,1,-67,-53
60N,149W,1996,51,52,22,-26,1,-4,-1,-5,1,-47,22,-39
60N,149W,1997,32,50,-66,-4,3,1,-3,-5,-2,-61,26,64
60N,149W,1998,-47,-48,20,4,15,5,-3,-2,2,2,35,22
60N,149W,1999,-95,-82,3,7,-1,-7,0,-7,-4,-1,-35,67
60N,149W,2000,86,56,9,-15,-7,-6,1,-7,-6,-24,35,31
60N,149W,2001,65,69,3,7,-2,-6,2,-10,-5,15,-4,19
60N,149W,2002,104,53,12,10,0,-5,2,1,4,14,18,78
60N,149W,2003,58,72,-43,-2,-1,-5,1,-6,-19,-5,60,23
60N,149W,2004,-50,27,18,-12,2,-6,-4,-8,1,22,59,25
60N,149W,2005,17,39,-22,-29,-5,-6,-2,-4,8,-17,-84,-25
60N,149W,2006,-40,84,-58,-9,-2,-4,5,2,-1,28,-156,-19
60N,149W,2007,100,-22,-175,-61,-6,-3,-4,-5,6,-13,11,10
60N,149W,2008,74,-120,-70,11,-9,2,1,-14,-14,-24,-12,22
60N,149W,2009,23,71,-44,5,-5,0,4,-5,-17,4,41,73
60N,149W,2010,-16,26,13,10,2,-7,6,0,-4,2,51,0
60N,149W,2011,111,48,-3,9,-4,6,-2,-7,-20,16,36,121
60N,149W,2012,67,71,29,6,-4,0,-2,-5,10,-1,-106,38
60N,149W,2013,103,65,34,-16,0,-2,7,-4,-5,38,47,68
60N,149W,2014,106,18,21,-5,0,-3,-4,-9,0,-9,20,67
60N,149W,2015,59,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,
Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Avg,Avg,1946,121.5,12.5,25.5,-2,-2.5,-4.5,-5.5,0.5,-13.5,39,14.5,43.5
60N,149W,1947,101.5,-28.5,25.5,-5,-2.5,-6.5,2,1,3,-20,51.5,88.5
60N,149W,1948,118,3.5,16,-4,-2.5,0.5,6,1,4.5,12,10.5,78
60N,149W,1949,139,-2.5,34.5,-5.5,1,0.5,-3,-3,-1.5,17.5,18.5,48
60N,149W,1950,114.5,-303,3,-22,-5,-6,-6,-6.5,-1.5,3.5,-92.5,18
60N,149W,1951,3,71,-32.5,8,0,2.5,-2.5,1.5,-6.5,-7,18.5,89
60N,149W,1952,-77.5,11,28.5,-0.5,-0.5,-3.5,3,-4.5,-6,7.5,35,-28.5
60N,149W,1953,-150.5,42,4,-6,1.5,-5,-5,3.5,0.5,-32.5,-18.5,40
60N,149W,1954,-45,2.5,41.5,-17,-4,-8,-3.5,5,4.5,-5,31,9
60N,149W,1955,100.5,43.5,34,7.5,-3.5,4.5,0.5,1,2,15,-70.5,-48
60N,149W,1956,-132,39,-6.5,4,4,-3,-1.5,-3,7,11,47,-110
60N,149W,1957,132.5,31.5,8.5,1.5,-9.5,-5,-2,-2,-5.5,-0.5,39,52
60N,149W,1958,38.5,-153,30,6,3.5,5.5,0.5,-11.5,6,-13.5,35.5,-56
60N,149W,1959,-250,74,-35,5,-1.5,-5.5,3,-1,1,-7,1,68.5
60N,149W,1960,97.5,36,-98,-7,-1.5,-6,-4,-1,5,-5.5,3,52
60N,149W,1961,31,-24,-54,7,-2.5,-10,1.5,1,15.5,19,19,-77.5
60N,149W,1962,24,70,21,-29,1.5,0,-3.5,4.5,1,11,-48.5,-34.5
60N,149W,1963,116,-79.5,39.5,10.5,-0.5,19,12,18,-28.5,-24,-119.5,-9
60N,149W,1964,14.5,75.5,-14,12,-2,-1.5,-1,-5.5,3.5,14.5,-9,-94.5
60N,149W,1965,-71.5,-21.5,40,7,10,7.5,-4.5,3,30,-38.5,1,42
60N,149W,1966,-189,75,-74,8.5,15.5,7.5,7.5,-0.5,-9,21.5,28.5,-97
60N,149W,1967,-16,15.5,17.5,17,1,12.5,3,5.5,-25.5,3.5,74,62
60N,149W,1968,21,-41,5.5,11,1,-5.5,-5,-5.5,-7,1.5,0.5,-38.5
60N,149W,1969,-33,-11.5,28.5,-14,-0.5,3.5,3.5,-4.5,-8,-30,-16,-47.5
60N,149W,1970,-72,4,22,13,0,2,0.5,1,-1,4,-12,-29.5
60N,149W,1971,-209.5,30.5,-52,-3.5,0,0.5,4.5,-4.5,3.5,27,10,81.5
60N,149W,1972,48.5,-182.5,-40.5,0,1.5,6,-2,-2,5.5,23,29.5,11
60N,149W,1973,26.5,-4,39,5,-13.5,-0.5,6,5.5,1,6,-8.5,-17
60N,149W,1974,-13,-93.5,-23.5,-4,1,1,8,-2,-9.5,-7.5,33,63.5
60N,149W,1975,62,3,24,9,-4,3,-3,-4,6.5,-8,-40,5
60N,149W,1976,60,-3,35.5,-9,-2,0,-3.5,-5.5,-19,13,-12,-1
60N,149W,1977,47.5,-6.5,35.5,4,4,-3,-5,-4,12.5,-23.5,2.5,-28
60N,149W,1978,7,-71.5,-4.5,7.5,-2,27,3.5,-3,0.5,15,48.5,96.5
60N,149W,1979,65,-285.5,7.5,12.5,-2,0.5,-5.5,-0.5,-18.5,-10,58,47.5
60N,149W,1980,16,-7.5,20,-39,-3,6,2,2,-6,-16.5,8.5,-97
60N,149W,1981,30,50,-18.5,-5,-4,-2.5,6,-8,-11,18,3,19.5
60N,149W,1982,-81,-89,22,-12,0,-3,1.5,-3,3.5,-3.5,17.5,-50.5
60N,149W,1983,-134.5,-60.5,-73.5,11.5,-6.5,-7.5,-4,-3,4.5,6,-24.5,17
60N,149W,1984,84,-38,-14.5,-2.5,-0.5,-5,-5.5,-4,-23,-19.5,15.5,74.5
60N,149W,1985,69,10.5,21.5,-4,2.5,-7,-2,0.5,11,8,32.5,8
60N,149W,1986,-33.5,-4.5,-42,-11.5,-1,-7,2.5,0,6,-16,-13,31.5
60N,149W,1987,59.5,-4.5,-22,-19,-2.5,-25,0.5,-3.5,-4.5,18,23.5,83
60N,149W,1988,59.5,-24,-19.5,-17.5,-4.5,-8.5,-2.5,-5.5,-1.5,-24,-24,65.5
60N,149W,1989,70.5,74.5,-64,0.5,4,-6,-1,-0.5,8,6,24.5,47.5
60N,149W,1990,102.5,15,-11.5,-3,2,-1,2,-3.5,10.5,17.5,-6,93.5
60N,149W,1991,118,22,48,-25,-2.5,1.5,-2.5,-6.5,-3,12,-63,79
60N,149W,1992,54.5,8.5,26.5,-26.5,0,1,-1.5,-2,-4,-2.5,50.5,94
60N,149W,1993,149,34,3,-24,-1.5,-1,3,2.5,32,18,76.5,51.5
60N,149W,1994,38,-61.5,17,1,-8,-3,-2,2,-5.5,-2,57.5,23
60N,149W,1995,54,30,-53,-10.5,0,-6,1.5,-3,-4.5,1,-74.5,-64
60N,149W,1996,49.5,62.5,19.5,-28,2.5,-3.5,-1,-4,2,-38.5,24,-14
60N,149W,1997,43.5,55.5,-54.5,-2.5,3,0,-4,-3.5,0,-36,27,71.5
60N,149W,1998,-18,-27,27,3,13,5.5,-2.5,-0.5,4,2.5,42.5,29
60N,149W,1999,-93.5,-54.5,-0.5,6.5,-1,-6.5,-1,-6,-6,3.5,-31.5,68.5
60N,149W,2000,99,59.5,4,-16.5,-4.5,-6,0,-5.5,-0.5,-22,41,32
60N,149W,2001,70.5,73,-6,6,-2,-6,1.5,-8,-5.5,19,-7,21.5
60N,149W,2002,109,47.5,14.5,11,1,-5.5,0,2,6,14.5,10,76
60N,149W,2003,67.5,72.5,-36,-2.5,0,-4,0.5,-5.5,-17.5,-2.5,73,25
60N,149W,2004,-25,29,21.5,-11.5,4,-5.5,-3,-7.5,4,22.5,62.5,25
60N,149W,2005,43,42.5,-33.5,-35.5,-5.5,-6,-3,-3.5,10,-25,-82,-32.5
60N,149W,2006,-28,92,-68,-18.5,-2.5,-3.5,6,2.5,-0.5,30,-161,-27.5
60N,149W,2007,114.5,-19.5,-173,-67.5,-7,-3.5,-4,-4,8,-17.5,7.5,5
60N,149W,2008,89,-122,-87,10.5,-11.5,1,0.5,-15,-15.5,-22,-13.5,33
60N,149W,2009,37.5,79,-53.5,4,-5.5,-0.5,3.5,-4.5,-16.5,2.5,36.5,74
60N,149W,2010,-58,28.5,9.5,11,3,-8,1.5,-2,-7.5,-7.5,57,15
60N,149W,2011,132,67,-8,6.5,-4,4,-3,-13.5,-29.5,12.5,55,128
60N,149W,2012,103,72.5,32.5,7,-6.5,-2.5,-4.5,-6.5,-4,2,-101.5,43.5
60N,149W,2013,122.5,69,34,-11,0.5,-3.5,5,-6.5,-8.5,30.5,56.5,78.5
60N,149W,2014,124.5,27,17,-4.5,-0.5,-5,-5.5,-14.5,-2,-6.5,29.5,73
60N,149W,2015,,,,,,,,,,,,
