1975	-.544	-.597	-.884	-.963	-.863	-1.15	-1.519	-1.73	-1.874	-1.986	-1.771	-1.752
1976	-1.613	-1.394	-1.246	-1.184	-.496	.307	.615	.664	1.038	.938	.49	.547
1977	.516	.271	.131	.539	.326	.451	.866	.695	.8	.993	.97	.86
1978	.77	.893	.936	.191	-.388	-.579	-.433	-.2	-.389	-.024	.178	.392
1979	.598	.361	-.015	.283	.38	.423	.369	.625	.786	.666	.744	.996
1980	.678	.589	.69	.907	.961	.907	.749	.336	.281	.209	.252	.098
1981	-.254	-.163	.457	.669	.161	-.019	-.048	-.088	.187	.108	-.036	-.137
1982	-.268	-.138	.106	-.009	.429	.944	1.604	1.799	1.811	2.019	2.433	2.418
1983	2.691	2.909	3.011	2.824	2.542	2.24	1.763	1.178	.497	.034	-.131	-.176
1984	-.327	-.533	.143	.347	.131	-.079	-.084	-.154	-.106	.009	-.344	-.596
1985	-.559	-.594	-.718	-.481	-.707	-.133	-.143	-.367	-.526	-.135	-.057	-.299
1986	-.307	-.196	.04	-.11	.35	.306	.383	.775	1.088	.98	.865	1.183
1987	1.243	1.192	1.719	1.866	2.14	1.964	1.859	1.999	1.894	1.643	1.271	1.284
1988	1.116	.697	.487	.353	.119	-.622	-1.145	-1.303	-1.506	-1.315	-1.44	-1.306
1989	-1.128	-1.271	-1.037	-.795	-.435	-.253	-.459	-.497	-.311	-.314	-.045	.127
1990	.232	.555	.945	.442	.637	.484	.12	.131	.378	.28	.39	.357
1991	.32	.313	.405	.463	.759	1.1	1.023	1.024	.76	1.024	1.2	1.325
1992	1.749	1.864	1.993	2.275	2.129	1.748	1.018	.57	.497	.664	.589	.64
1993	.686	.979	.99	1.409	1.998	1.591	1.17	1.042	.992	1.063	.839	.595
1994	.349	.197	.174	.465	.573	.788	.88	.773	.908	1.419	1.29	1.229
1995	1.216	.961	.879	.466	.563	.508	.207	-.143	-.426	-.471	-.453	-.546
1996	-.63	-.581	-.227	-.42	-.127	.068	-.204	-.374	-.437	-.349	-.13	-.325
1997	-.489	-.595	-.222	.535	1.165	2.292	2.805	3.04	3.044	2.417	2.575	2.368
1998	2.503	2.792	2.768	2.685	2.212	1.292	.347	-.331	-.6	-.795	-1.099	-.941
1999	-1.094	-1.176	-1.019	-.982	-.66	-.361	-.507	-.745	-.953	-.977	-1.042	-1.192
2000	-1.164	-1.207	-1.112	-.479	.169	-.053	-.184	-.145	-.227	-.372	-.712	-.551
2001	-.502	-.669	-.571	-.091	.233	.006	.27	.338	-.165	-.266	-.159	.028
2002	-.032	-.176	-.137	.401	.851	.913	.685	1.017	.908	.976	1.076	1.141
2003	1.199	.937	.831	.365	.111	.097	.144	.316	.477	.519	.536	.349
2004	.322	.356	-.056	.285	.539	.267	.541	.627	.572	.497	.815	.665
2005	.31	.81	1.055	.642	.836	.585	.49	.352	.315	-.149	-.376	-.576
2006	-.435	-.411	-.533	-.621	.008	.53	.691	.759	.823	.934	1.322	.998
2007	1.012	.542	.112	.015	.247	-.215	-.288	-.441	-1.181	-1.103	-1.119	-1.129
2008	-.968	-1.355	-1.583	-.874	-.368	.133	.054	-.266	-.551	-.72	-.502	-.608
2009	-.711	-.677	-.678	-.109	.361	.819	1.035	1.067	.735	1.038	1.088	1.041
2010	1.152	1.521	1.427	.95	.643	-.325	-1.156	-1.683	-1.868	-1.896	-1.523	-1.529
2011	-1.645	-1.53	-1.511	-1.392	-.288	-.075	-.228	-.519	-.769	-.939	-.886	-.912
2012	-.995	-.665	-.377	.127	.747	.835	1.098	.619	.339	.139	.21	.081
2013	.069	-.119	-.128	.069	.146	-.168	-.355	-.48	-.133	.135	-.027	-.255
2014	-.287	-.241	.032	.248	.976	.98	.882	.954	.585	.411	.772	.611
2015	.419	.468	.67	.97	1.584	2.045	1.948	2.366	2.53	2.225	2.308	2.123
